geneID	Coefficient of Variation	Louvain Cluster	Maximum Data Value	Mean Data Value	Minimum Data Value	Node Component Identifier	Node Degree	Node Multiplicity	Standard Deviation	Strongest Data Column	Variance
Ier5	0.0631039079519354	Cluster 2	8.60404798424218	7.71372255889659	6.44065509734959	Component 1	4	1	0.48676603832337806	007_C_rn_neg	0.23694117606503637
Stx6	0.07440949847210168	Cluster 2	7.29372603341431	6.375645683735839	5.28424959779424	Component 1	4	1	0.4744085977626036	005_C_rn_neg	0.22506351763107982
Cep350	0.029986974236518787	Cluster 10	9.18722191336553	8.506466833054478	7.69549533919485	Component 1	5	1	0.2550832017666062	002_L_rn_pos	0.06506743982350312
Tor1aip1	0.07461995089303676	Cluster 3	8.00079333414414	6.920531436603447	5.92049823620663	Component 1	8	1	0.5164097159530664	298_C_rp	0.26667899473072676
Ralgps2	0.1655246294322545	Cluster 8	6.95639451593999	4.6778575987060895	3.40918060604713	Component 1	4	1	0.7743006455626813	002_L_rn_pos	0.5995414897187851
4930523C07Rik	0.07064890109836375	Cluster 2	8.58531480244478	7.673305486504862	6.20406273759631	Component 1	12	1	0.5421106004136139	4192_C_rp	0.29388390308080903
Rabgap1l	0.06177341422040398	Cluster 2	9.23710130483667	8.472522920147336	7.08266148876421	Component 1	7	1	0.5233766678381281	400_S_ra	0.27392313643734223
9430087J23Rik		Cluster 2	3.64447778890224	2.1277193995871015	-1.08902413152456	Component 1	1	1	1.1389222643618746	002_S_rn_neg	1.2971439242591798
Gm37529	0.2646335963752789	Cluster 2	5.57403136756604	3.916795294716174	1.06644169684345	Component 1	6	1	1.0365156251065115	002_S_rn_neg	1.0743646410899421
Gm37212		Cluster 2	4.6325484555701	2.9943056266715837	-0.707042264861335	Component 1	4	1	1.0343017672029695	4190_S_ra	1.0697801456391858
Gm37215		Cluster 2	4.46801529836798	2.8063039251689927	-0.0730339649101313	Component 1	3	1	1.0437557912954887	294_L_ra	1.0894261518628718
Gm38302		Cluster 2	4.48571341843317	2.802562834239499	-0.530060073196125	Component 1	4	1	1.065032487559805	002_S_rn_neg	1.1342941995578262
6720464F23Rik	0.2523318085322794	Cluster 2	5.55166677549201	3.8994901656209686	0.856823865069376	Component 1	5	1	0.9839654058449767	002_S_rn_neg	0.9681879198996698
Gm38329		Cluster 2	3.87553986937877	2.1596441694692627	-2.73506130305754	Component 1	1	1	1.3459544330249735	4209_L_ra	1.8115933357795777
Zbtb37	0.12681190384906552	Cluster 8	7.24524989347064	5.436644946003995	4.21160855308793	Component 1	5	1	0.6894312961541667	002_S_rn_pos	0.4753155121168143
Gas5	0.059084986335185476	Cluster 2	7.99825327596073	6.978035108573119	5.95386099498387	Component 1	1	1	0.4122971090364872	299_C_rp	0.16998890611984502
Cenpl	0.23620706475052752	Cluster 3	5.64579396806979	4.093633363980269	1.49505126447189	Component 1	6	1	0.9669451210706071	299_C_rp	0.9349828671622512
Prdx6	0.10511877023789039	Cluster 1	7.75899837777934	6.492388169815852	5.1318302601423	Component 1	12	1	0.6824718603180703	4205_C_rp	0.4657678401260076
Tnfsf4		Cluster 3	5.68286106346099	2.080206889287553	-2.49781973719536	Component 1	4	1	1.905621521046617	4183_C_ra	3.631393381476022
Fasl	0.3430354142431777	Cluster 3	7.3334730903874	4.272173228860986	1.28620349195923	Component 1	5	1	1.4655067132809423	346_C_ra	2.14770992667151
Suco	0.06520850740527273	Cluster 1	8.27225439569086	7.361361458105334	6.44875854652891	Component 1	5	1	0.4800233931537509	010_C_rn_neg	0.2304224579748405
Vamp4	0.1323827093558854	Cluster 1	7.21770900290815	5.668658070158892	4.28592848640891	Component 1	11	1	0.7504323137397387	010_C_rn_neg	0.5631486575047777
Prrc2c	0.03590452875044723	Cluster 2	11.3047430640017	10.437536086901593	9.26338414119089	Component 1	10	1	0.37475481451598874	4193_C_rp	0.14044117100291312
BC055324		Cluster 5	4.54455922733631	2.2080966558513957	-1.63261563619662	Component 1	3	1	1.0793652715914346	245_d12_rp	1.1650293895176516
Sell		Cluster 8	10.3790531022918	6.304705327271973	-0.266815231028648	Component 1	11	1	2.5650692500983534	001_L_rn_pos	6.579580257800129
Gm26685		Cluster 8	1.29620417960851	-2.0998243063838498	-2.89450846905734	Component 1	3	1	1.107070869484175	400_C_ra	1.2256059100604473
Sft2d2	0.07524533984696974	Cluster 1	7.59684438888738	6.401828877278698	5.55690954242669	Component 1	1	1	0.4817077895129803	341_C_ra	0.23204239447748176
Tiprl	0.10537742291858791	Cluster 1	7.23728224911443	5.780830860932847	4.71047134007243	Component 1	5	1	0.6091690584533452	346_C_ra	0.37108694177693513
